date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:50	66/66	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Mon,%2024%20Dec%202018%2000:34:49%20GMT	https://www.jeffersonswheel.org/robots.txt		(from )
19:34:50	54420/54420	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2000:34:49%20GMT	https://www.jeffersonswheel.org/	www.jeffersonswheel.org/index.html	(from )
19:34:51	9592/9592	---MCZ	200	added ('OK')	text/css	etag:W/%222578-54a35711cfac0%22	https://www.jeffersonswheel.org/wp-content/themes/whiteasmilk/style1.css	www.jeffersonswheel.org/wp-content/themes/whiteasmilk/style1.css	(from https://www.jeffersonswheel.org/)
19:34:52	29699/29699	---MCZ	200	added ('OK')	text/xml	etag:W/%22ba3ea0e7ccab52fecb303d73afef7316%22	https://www.jeffersonswheel.org/feed	www.jeffersonswheel.org/feed	(from https://www.jeffersonswheel.org/)
19:34:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Oct%202018%2003:12:33%20GMT	https://www.jeffersonswheel.org/feed/rss	www.jeffersonswheel.org/feed/rss	(from https://www.jeffersonswheel.org/)
19:34:54	33348/33348	---MC-	200	added ('OK')	application/atom+xml	etag:%22ba3ea0e7ccab52fecb303d73afef7316%22	https://www.jeffersonswheel.org/feed/atom	www.jeffersonswheel.org/feed/atom	(from https://www.jeffersonswheel.org/)
19:34:54	42/42	---M--	200	added ('OK')	text/plain	date:Mon,%2024%20Dec%202018%2000:34:54%20GMT	https://www.jeffersonswheel.org/xmlrpc.php	www.jeffersonswheel.org/xmlrpc.php	(from https://www.jeffersonswheel.org/)
19:34:56	22452/22452	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2000:34:55%20GMT	https://www.jeffersonswheel.org/2018/10	www.jeffersonswheel.org/2018/10.html	(from https://www.jeffersonswheel.org/)
19:34:57	22195/22195	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2000:34:56%20GMT	https://www.jeffersonswheel.org/2018/09	www.jeffersonswheel.org/2018/09.html	(from https://www.jeffersonswheel.org/)
19:34:58	26370/26370	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Dec%202018%2000:34:57%20GMT	https://www.jeffersonswheel.org/2018/08	www.jeffersonswheel.org/2018/08.html	(from https://www.jeffersonswheel.org/)
